time,#101,#102,#103,#104,#105,#106,#107,#108,#109,#110,#111,nagents
56,3.4129570354249843,"Dict{String, Real}(""unique_cultures"" => 34, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0166015625)",0.0,0.0,21,29,"Dict(""blue_proportion"" => 0.58, ""red_proportion"" => 0.42)","Dict(:p25 => 22.5, :p75 => 99.0, :p50 => 60.0, :p90 => 124.0, :p99 => 165.17999999999995, :p95 => 140.59999999999997)",5.052338905908592,0,58,50
57,3.3697127545429817,"Dict{String, Real}(""unique_cultures"" => 34, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0166015625)",0.0,0.0,21,29,"Dict(""blue_proportion"" => 0.58, ""red_proportion"" => 0.42)","Dict(:p25 => 23.25, :p75 => 101.0, :p50 => 60.5, :p90 => 126.00000000000003, :p99 => 167.66999999999996, :p95 => 143.14999999999998)",4.892657019436834,0,58,50
58,3.353836259576714,"Dict{String, Real}(""unique_cultures"" => 33, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01611328125)",0.0,0.0,24,26,"Dict(""blue_proportion"" => 0.52, ""red_proportion"" => 0.48)","Dict(:p25 => 23.25, :p75 => 103.75, :p50 => 61.5, :p90 => 128.0, :p99 => 169.66999999999996, :p95 => 145.69999999999996)",4.780596663379112,0,59,50
59,3.430217959772091,"Dict{String, Real}(""unique_cultures"" => 35, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01708984375)",0.0,0.0,22,28,"Dict(""blue_proportion"" => 0.56, ""red_proportion"" => 0.44)","Dict(:p25 => 23.5, :p75 => 105.0, :p50 => 62.5, :p90 => 130.00000000000003, :p99 => 171.66999999999996, :p95 => 147.69999999999996)",4.7082542241839604,0,59,50
60,3.4183685675159614,"Dict{String, Real}(""unique_cultures"" => 35, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01708984375)",0.0,0.0,18,32,"Dict(""blue_proportion"" => 0.64, ""red_proportion"" => 0.36)","Dict(:p25 => 19.0, :p75 => 95.5, :p50 => 42.0, :p90 => 124.2, :p99 => 174.66999999999996, :p95 => 145.29999999999993)",5.218907846110075,4,60,50
61,3.3142609800981866,"Dict{String, Real}(""unique_cultures"" => 32, ""max_possible"" => 2048, ""diversity_ratio"" => 0.015625)",0.0,0.0,21,29,"Dict(""blue_proportion"" => 0.58, ""red_proportion"" => 0.42)","Dict(:p25 => 19.75, :p75 => 97.5, :p50 => 43.0, :p90 => 126.2, :p99 => 177.66999999999996, :p95 => 147.8499999999999)",5.22679634996905,5,60,50
62,3.3037960172228953,"Dict{String, Real}(""unique_cultures"" => 32, ""max_possible"" => 2048, ""diversity_ratio"" => 0.015625)",0.0,0.0,23,27,"Dict(""blue_proportion"" => 0.54, ""red_proportion"" => 0.46)","Dict(:p25 => 20.25, :p75 => 97.5, :p50 => 41.5, :p90 => 128.2, :p99 => 180.66999999999996, :p95 => 150.8499999999999)",4.954001188137334,6,61,50
63,3.4738203419607565,"Dict{String, Real}(""unique_cultures"" => 37, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01806640625)",0.0,0.0,22,28,"Dict(""blue_proportion"" => 0.56, ""red_proportion"" => 0.44)","Dict(:p25 => 19.25, :p75 => 99.25, :p50 => 42.5, :p90 => 129.4, :p99 => 183.66999999999996, :p95 => 152.8499999999999)",4.8276746666187975,6,61,50
64,3.435629491863068,"Dict{String, Real}(""unique_cultures"" => 36, ""max_possible"" => 2048, ""diversity_ratio"" => 0.017578125)",0.0,0.0,23,27,"Dict(""blue_proportion"" => 0.54, ""red_proportion"" => 0.46)","Dict(:p25 => 20.0, :p75 => 101.0, :p50 => 44.0, :p90 => 131.5, :p99 => 186.66999999999996, :p95 => 155.29999999999993)",4.88167351290704,6,63,50
65,3.485669734216887,"Dict{String, Real}(""unique_cultures"" => 37, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01806640625)",0.0,0.0,22,28,"Dict(""blue_proportion"" => 0.56, ""red_proportion"" => 0.44)","Dict(:p25 => 19.5, :p75 => 103.0, :p50 => 45.0, :p90 => 133.60000000000002, :p99 => 189.66999999999996, :p95 => 157.8499999999999)",4.896439793308242,6,63,50
66,3.5029306585639937,"Dict{String, Real}(""unique_cultures"" => 37, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01806640625)",0.0,0.0,25,25,"Dict(""blue_proportion"" => 0.5, ""red_proportion"" => 0.5)","Dict(:p25 => 19.0, :p75 => 104.25, :p50 => 45.5, :p90 => 135.6, :p99 => 192.66999999999996, :p95 => 160.8499999999999)",4.871309944517427,6,64,50
67,3.380177717418273,"Dict{String, Real}(""unique_cultures"" => 34, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0166015625)",0.0,0.0,23,27,"Dict(""blue_proportion"" => 0.54, ""red_proportion"" => 0.46)","Dict(:p25 => 18.25, :p75 => 104.75, :p50 => 44.5, :p90 => 137.60000000000002, :p99 => 195.66999999999996, :p95 => 162.8499999999999)",4.9563151813806225,7,65,50
68,3.377893145395637,"Dict{String, Real}(""unique_cultures"" => 33, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01611328125)",0.0,0.0,21,29,"Dict(""blue_proportion"" => 0.58, ""red_proportion"" => 0.42)","Dict(:p25 => 16.0, :p75 => 98.75, :p50 => 44.0, :p90 => 129.8, :p99 => 197.66999999999996, :p95 => 164.8499999999999)",5.153609545805088,8,65,50
69,3.4356294918630685,"Dict{String, Real}(""unique_cultures"" => 36, ""max_possible"" => 2048, ""diversity_ratio"" => 0.017578125)",0.0,0.0,20,30,"Dict(""blue_proportion"" => 0.6, ""red_proportion"" => 0.4)","Dict(:p25 => 15.0, :p75 => 81.5, :p50 => 37.0, :p90 => 129.10000000000002, :p99 => 200.17999999999995, :p95 => 167.39999999999992)",3.8678234659080504,11,66,50
70,3.4424254533348844,"Dict{String, Real}(""unique_cultures"" => 36, ""max_possible"" => 2048, ""diversity_ratio"" => 0.017578125)",0.0,0.0,19,31,"Dict(""blue_proportion"" => 0.62, ""red_proportion"" => 0.38)","Dict(:p25 => 16.0, :p75 => 82.5, :p50 => 38.0, :p90 => 132.0, :p99 => 203.17999999999995, :p95 => 169.94999999999993)",3.877928300998444,11,67,50
71,3.398823071146219,"Dict{String, Real}(""unique_cultures"" => 34, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0166015625)",0.0,0.0,19,31,"Dict(""blue_proportion"" => 0.62, ""red_proportion"" => 0.38)","Dict(:p25 => 16.25, :p75 => 83.5, :p50 => 39.0, :p90 => 134.0, :p99 => 206.17999999999998, :p95 => 172.39999999999992)",3.9108473585410413,11,67,50
72,3.3815621467991113,"Dict{String, Real}(""unique_cultures"" => 33, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01611328125)",0.0,0.0,19,31,"Dict(""blue_proportion"" => 0.62, ""red_proportion"" => 0.38)","Dict(:p25 => 17.0, :p75 => 84.5, :p50 => 39.0, :p90 => 136.0, :p99 => 209.17999999999995, :p95 => 174.8499999999999)",3.9422130854458763,11,68,50
73,3.339702295297948,"Dict{String, Real}(""unique_cultures"" => 32, ""max_possible"" => 2048, ""diversity_ratio"" => 0.015625)",0.0,0.0,20,30,"Dict(""blue_proportion"" => 0.6, ""red_proportion"" => 0.4)","Dict(:p25 => 19.5, :p75 => 85.5, :p50 => 40.5, :p90 => 138.0, :p99 => 212.17999999999995, :p95 => 177.29999999999993)",3.7454088205998857,11,71,50
